,BFS_NUMMER,EINWOHNERZ,centroid
5,3851,11136,4.32147450547999 30.577153044924277
31,1630,17587,3.8385325677369178 30.552535203306324
45,6512,10854,4.178001744726838 30.492884483614482
46,6487,16399,3.5173929975133817 30.450306909218988
55,1301,14949,4.133047993659556 30.504978529074275
60,1632,12446,3.9607498223707065 30.46576864580564
77,261,391359,3.486279337856525 30.729411759129423
95,1407,10232,4.015617337230239 30.539009743807814
98,5192,63668,3.8290096857045963 30.375978697140432
102,230,106778,3.9019636487295313 30.565641343305956
140,6421,39027,4.102630885129247 30.546174881716606
151,1372,14880,5.503035681315333 30.215679712169475
155,351,130015,3.737004065395141 30.514027284450606
159,355,39998,3.9610176474989474 30.546247244342265
202,1362,11301,3.936928853692793 30.547477364767552
209,2939,35927,4.12358967666643 30.51136280613227
227,3203,75310,4.022522835608095 30.550649107996918
240,6002,12935,3.970934559755918 30.546300423820796
245,5586,133897,4.009593968213104 30.55090401092124
262,5886,26208,3.9109039528928875 30.538558264639878
272,296,16693,3.249322582717453 30.52618326381514
278,5254,14929,3.936143473003358 30.55773897278545
296,3251,11273,3.991633959120198 30.52484925041017
305,1331,12395,4.0141469122816735 30.56468437394869
310,6266,33296,3.9663951290951074 30.5415912546152
320,198,33412,4.346210596330251 30.50042178717211
322,3901,34547,3.9364191845790035 30.545671059499426
326,1061,81057,3.985178428498234 30.536710905574015
331,3443,18053,3.9290449110230425 30.56489440616062
333,4566,24578,3.9508748054315923 30.561464925284817
335,1059,27229,3.96399843724751 30.538644250152554
341,2546,16480,4.04273122785533 30.4839730474939
358,3001,15512,3.9639883863364154 30.54501423135618
363,1701,23228,3.9037007995159083 30.568577779351084
366,6136,17342,4.011903646915664 30.548173838410978
390,2701,168620,4.047861588259891 30.556220341032297
391,2125,21464,4.006949692345979 30.528710655683323
398,6436,10433,4.012007288842681 30.564390091155364
400,861,11466,4.239035154068383 30.362301642352268
418,3340,26722,3.9510272939217965 30.54518162861255
419,117,10799,3.938985020196049 30.547094666992635
426,6711,12485,4.318660277195107 30.498026087033818
442,133,20033,4.160151137073314 30.47225763768506
444,942,43303,3.986722494722454 30.54370328234359
447,1711,28603,3.833703880463664 30.437303477823136
