Gemeinde,singleMen_total,20-24_men,25-29_men,30-34_men,35-39_men,40-44_men,45-49_men,50-54_men,55-59_men,60-64_men,65-69_men,70-74_men,75-79_men,80-84_men,85-89_men,90-94_men,singleMen_total_per100,20-24_men_per100,25-29_men_per100,30-34_men_per100,35-39_men_per100,40-44_men_per100,45-49_men_per100,50-54_men_per100,55-59_men_per100,60-64_men_per100,65-69_men_per100,70-74_men_per100,75-79_men_per100,80-84_men_per100,85-89_men_per100,90-94_men_per100,GDENR
Aeugst am Albis,-27,11,8,3,1,-5,-4,-12,-17,-2,-1,-9,-5,-16,-15,-4,-1.4,0.6,0.4,0.2,0.1,-0.3,-0.2,-0.6,-0.9,-0.1,-0.1,-0.5,-0.3,-0.8,-0.8,-0.2,1
Affoltern am Albis,-111,82,71,67,47,37,-25,-20,-8,-26,-63,-60,-80,-86,-56,-30,-0.9,0.7,0.6,0.6,0.4,0.3,-0.2,-0.2,-0.1,-0.2,-0.5,-0.5,-0.7,-0.7,-0.5,-0.3,2
Bonstetten,-103,14,-13,6,18,-21,12,-12,-8,-20,-11,-18,-25,-14,-8,-6,-1.9,0.3,-0.2,0.1,0.3,-0.4,0.2,-0.2,-0.2,-0.4,-0.2,-0.3,-0.5,-0.3,-0.2,-0.1,3
Hausen am Albis,-113,19,-13,0,0,-2,-13,2,-11,-27,-14,-6,-24,-14,-10,-4,-3.2,0.5,-0.4,0.0,0.0,-0.1,-0.4,0.1,-0.3,-0.8,-0.4,-0.2,-0.7,-0.4,-0.3,-0.1,4
Hedingen,10,16,11,34,17,2,-5,7,-13,-7,-11,-2,-4,-13,-12,-1,0.3,0.4,0.3,0.9,0.5,0.1,-0.1,0.2,-0.4,-0.2,-0.3,-0.1,-0.1,-0.4,-0.3,-0.0,5
Kappel am Albis,-9,8,-2,5,3,2,-1,-2,-3,2,5,-7,-5,-6,-1,-1,-0.9,0.8,-0.2,0.5,0.3,0.2,-0.1,-0.2,-0.3,0.2,0.5,-0.7,-0.5,-0.6,-0.1,-0.1,6
Knonau,23,2,20,16,9,5,-8,-8,-6,-13,-16,-2,0,-3,-6,-9,1.1,0.1,1.0,0.8,0.4,0.2,-0.4,-0.4,-0.3,-0.6,-0.8,-0.1,0.0,-0.1,-0.3,-0.4,7
Maschwanden,18,0,4,3,4,1,-1,6,-1,5,-2,-1,1,-8,-4,1,2.8,0.0,0.6,0.5,0.6,0.2,-0.2,0.9,-0.2,0.8,-0.3,-0.2,0.2,-1.2,-0.6,0.2,8
Mettmenstetten,5,45,-7,32,7,8,-3,-10,-11,-5,-20,-16,-9,-10,-12,-10,0.1,1.0,-0.1,0.7,0.1,0.2,-0.1,-0.2,-0.2,-0.1,-0.4,-0.3,-0.2,-0.2,-0.3,-0.2,9
Obfelden,-22,9,22,11,4,15,12,-3,-6,-22,-23,-17,-18,-20,-20,-11,-0.4,0.2,0.4,0.2,0.1,0.3,0.2,-0.1,-0.1,-0.4,-0.5,-0.3,-0.4,-0.4,-0.4,-0.2,10
Ottenbach,-38,1,-7,-5,0,-12,7,-13,-5,-10,-7,-4,-4,-2,-11,-1,-1.5,0.0,-0.3,-0.2,0.0,-0.5,0.3,-0.5,-0.2,-0.4,-0.3,-0.2,-0.2,-0.1,-0.4,-0.0,11
Rifferswil,-61,2,5,5,8,-7,-5,-4,-14,-5,-6,-3,-3,-5,-7,-7,-5.8,0.2,0.5,0.5,0.8,-0.7,-0.5,-0.4,-1.3,-0.5,-0.6,-0.3,-0.3,-0.5,-0.7,-0.7,12
Stallikon,1,39,16,5,-1,4,-2,4,-9,-7,-3,3,-13,-11,-11,-4,0.0,1.1,0.5,0.1,-0.0,0.1,-0.1,0.1,-0.3,-0.2,-0.1,0.1,-0.4,-0.3,-0.3,-0.1,13
Wettswil am Albis,-93,10,29,33,-7,-1,6,3,-1,-3,-38,-25,-29,-20,-22,-11,-1.9,0.2,0.6,0.7,-0.1,-0.0,0.1,0.1,-0.0,-0.1,-0.8,-0.5,-0.6,-0.4,-0.4,-0.2,14
Adlikon,-19,2,-5,3,5,1,-1,-4,-2,3,1,-1,-2,-3,-4,0,-2.9,0.3,-0.8,0.5,0.8,0.2,-0.2,-0.6,-0.3,0.5,0.2,-0.2,-0.3,-0.5,-0.6,0.0,21
Benken (ZH),4,7,-4,8,2,-3,0,7,-8,0,-6,-3,-3,-8,-8,0,0.5,0.8,-0.5,0.9,0.2,-0.3,0.0,0.8,-0.9,0.0,-0.7,-0.3,-0.3,-0.9,-0.9,0.0,22
Berg am Irchel,6,-1,6,0,2,-6,-2,4,4,3,-6,6,0,-5,0,-1,1.0,-0.2,1.0,0.0,0.3,-1.0,-0.3,0.7,0.7,0.5,-1.0,1.0,0.0,-0.9,0.0,-0.2,23
Buch am Irchel,-19,1,16,1,0,4,-5,-2,-5,-3,1,5,0,-3,-4,-2,-2.0,0.1,1.7,0.1,0.0,0.4,-0.5,-0.2,-0.5,-0.3,0.1,0.5,0.0,-0.3,-0.4,-0.2,24
