,BFS_NUMMER,EINWOHNERZ,centroid
0,3762,4643,14.484388998290447 26.941103728186246
1,1631,9761,2.3285567229100668 30.170955826413685
2,3746,1566,3.8916093084093575 30.55380819614539
3,3543,2425,-0.2315976683239545 32.08390575247061
4,6031,8079,3.1864400520602603 30.575639894572237
5,3851,11136,4.32147450547999 30.577153044924277
6,9758,-32768,2.750237180296994 30.534817355070267
7,3792,1543,3.7770095421834364 30.531871462478833
8,6300,5770,2.5890331079278996 30.31432281006253
9,6252,2705,4.03599627840004 30.433189797275293
10,784,1069,3.5760471538767655 30.535157974472952
11,3871,4590,3.9637795612612066 30.345722411629616
12,6083,1718,4.006205742735563 30.556185124681946
13,5049,1726,3.1075901395274994 30.741548213938913
14,782,306,3.9412962740401887 30.518714040252878
15,3847,1533,3.853663410024572 29.64978376371326
16,3561,3522,4.640911362931133 30.251232618627597
17,5323,563,4.7220756263297385 30.15583061088151
18,3603,1008,5.573745733849117 31.315830866388026
19,6058,317,3.9292218108189805 30.564073375106005
20,1367,3485,3.757008637401364 30.581611250782938
21,576,3736,4.001161639874952 30.533052569311334
22,3618,2078,3.9941116356119784 30.548058862200836
23,6034,3178,2.902749122917866 30.728993530571962
24,3822,1308,3.216695256554977 30.82809943319645
25,584,2455,3.80018364983713 30.537807188912165
26,6076,656,3.92841728523772 30.652232747680603
27,3921,3247,4.025757361411484 30.52003912989256
28,3672,895,4.038777480247958 30.455433767626367
29,5310,1186,3.955215304428088 30.58158215506781
30,3764,908,4.006972151803963 30.530311624652978
31,1630,17587,3.8385325677369178 30.552535203306324
32,6007,9729,3.8593919356608266 30.532097734832544
33,3521,457,3.947924984239621 30.554960251529288
34,1216,2164,3.906699501698926 30.528187618819445
35,3293,8617,4.040983091514168 30.531227979860542
36,3788,715,3.952129219703764 30.54427156178734
37,3983,398,3.9944249566011916 30.564789100409318
38,565,1299,3.857971184776491 30.53608585339494
39,3986,1359,3.958968722695645 30.573628663336255
40,3619,4687,4.086639805274161 30.53510105496948
41,762,2134,3.551620667703938 30.58224120165056
42,3294,1556,3.886769396170526 30.539456158744986
43,5072,2958,3.9415592911544355 30.581177057122368
44,567,3508,3.877262296488792 30.832771411878095
45,6512,10854,4.178001744726838 30.492884483614482
46,6487,16399,3.5173929975133817 30.450306909218988
47,792,2427,4.065634251883529 30.49040484374912
48,843,6909,3.6910479829592653 30.613666377121206
49,3784,2161,4.116828199089135 30.420354202301823
50,5841,3426,3.7120626053628336 30.65934877412034
51,9329,-32768,4.156619305772715 30.50518743079755
52,2163,2384,4.3782439295969215 30.755594716078328
53,5317,2603,3.8467292923468848 30.589974404854253
54,6288,390,3.9930347185740143 30.563488143892666
55,1301,14949,4.133047993659556 30.504978529074275
56,1004,1880,4.128064108751077 30.752491037445413
57,6084,1360,4.031914275573785 30.5948592616063
58,1010,4323,4.037411207378689 30.51948279127799
59,1208,436,4.372529602962079 30.60782238067955
60,1632,12446,3.9607498223707065 30.46576864580564
61,3985,1240,3.9825748573841233 30.53279078324747
62,5872,4504,3.980436483861702 30.593998080261894
63,5050,2076,3.956327526058065 30.558958558739114
64,1220,436,3.971313053321147 30.511697331527355
65,5402,7111,6.014473190107488 30.85571959873369
