GDENR,Gemeinde,Ledige Männer Total +/-,20-24_men,25-29_men,30-34_men,35-39_men,40-44_men,45-49_men,50-54_men,55-59_men,60-64_men,65-69_men,70-74_men,75-79_men,80-84_men,85-89_men,90-94_men
1,Aeugst am Albis,-27,11,8,3,1,-5,-4,-12,-17,-2,-1,-9,-5,-16,-15,-4
2,Affoltern am Albis,-111,82,71,67,47,37,-25,-20,-8,-26,-63,-60,-80,-86,-56,-30
3,Bonstetten,-103,14,-13,6,18,-21,12,-12,-8,-20,-11,-18,-25,-14,-8,-6
4,Hausen am Albis,-113,19,-13,0,0,-2,-13,2,-11,-27,-14,-6,-24,-14,-10,-4
5,Hedingen,10,16,11,34,17,2,-5,7,-13,-7,-11,-2,-4,-13,-12,-1
6,Kappel am Albis,-9,8,-2,5,3,2,-1,-2,-3,2,5,-7,-5,-6,-1,-1
7,Knonau,23,2,20,16,9,5,-8,-8,-6,-13,-16,-2,0,-3,-6,-9
8,Maschwanden,18,0,4,3,4,1,-1,6,-1,5,-2,-1,1,-8,-4,1
9,Mettmenstetten,5,45,-7,32,7,8,-3,-10,-11,-5,-20,-16,-9,-10,-12,-10
10,Obfelden,-22,9,22,11,4,15,12,-3,-6,-22,-23,-17,-18,-20,-20,-11
11,Ottenbach,-38,1,-7,-5,0,-12,7,-13,-5,-10,-7,-4,-4,-2,-11,-1
12,Rifferswil,-61,2,5,5,8,-7,-5,-4,-14,-5,-6,-3,-3,-5,-7,-7
13,Stallikon,1,39,16,5,-1,4,-2,4,-9,-7,-3,3,-13,-11,-11,-4
14,Wettswil am Albis,-93,10,29,33,-7,-1,6,3,-1,-3,-38,-25,-29,-20,-22,-11
21,Adlikon,-19,2,-5,3,5,1,-1,-4,-2,3,1,-1,-2,-3,-4,0
22,Benken (ZH),4,7,-4,8,2,-3,0,7,-8,0,-6,-3,-3,-8,-8,0
23,Berg am Irchel,6,-1,6,0,2,-6,-2,4,4,3,-6,6,0,-5,0,-1
24,Buch am Irchel,-19,1,16,1,0,4,-5,-2,-5,-3,1,5,0,-3,-4,-2
25,Dachsen,25,7,5,15,9,-3,5,2,-1,-4,-2,-6,-15,-7,-9,-3
26,Dorf,-3,-11,7,-2,4,1,0,-2,-2,-3,-2,0,-1,-1,-1,0
27,Feuerthalen,-34,12,15,5,29,14,14,19,9,-1,-11,-10,-24,-22,-28,-11
28,Flaach,1,1,7,8,5,2,8,2,11,-4,-2,-5,-9,-12,-7,-2
29,Flurlingen,18,11,3,9,6,-2,0,2,-2,-7,1,-1,-10,-8,-7,0
30,Andelfingen,-41,-6,4,15,16,0,4,19,-5,-15,-11,-13,-6,-23,-6,-3
31,Henggart,-94,-13,0,-1,-1,1,1,-5,-11,-6,-2,-4,-11,-14,-8,-3
32,Humlikon,-5,-3,0,0,0,0,-4,-1,-5,-3,-2,0,-4,1,0,0
33,Kleinandelfingen,-37,3,1,10,4,-9,17,-14,3,-3,-7,-3,-8,-9,-17,-3
34,Laufen-Uhwiesen,-16,0,2,8,9,-3,-4,1,7,-5,-10,-1,-7,-10,-7,-6
35,Marthalen,-24,8,0,9,12,-2,5,-4,-6,-4,0,-2,-15,-11,-12,-8
36,Oberstammheim,-1,20,9,13,3,-2,1,3,-4,1,-6,-8,-5,-17,-7,-3
37,Ossingen,20,5,0,-6,-1,1,8,1,6,-5,-2,-1,0,-11,-4,-1
38,Rheinau,-26,10,4,4,-6,-5,4,-3,3,-9,-4,-1,-7,-15,-15,-8
39,Thalheim an der Thur,28,7,-5,6,-3,11,0,5,-4,6,-2,-8,-2,0,-4,-4
40,Trüllikon,41,7,0,12,5,8,-7,-5,-2,-2,-3,0,1,4,-8,-3
41,Truttikon,-19,5,2,0,0,-2,3,1,-2,-6,-1,-3,-5,-1,-1,0
42,Unterstammheim,0,12,16,1,-1,5,2,-1,3,2,1,-2,-6,-11,-14,-4
43,Volken,9,9,-2,2,0,0,-1,-1,1,0,-2,-1,0,0,0,-1
44,Waltalingen,-7,2,7,1,5,1,-3,2,-6,2,-4,-3,-11,-5,-5,0
51,Bachenbülach,-38,3,15,19,5,-5,7,2,-20,-1,-26,-20,-19,-15,-17,0
52,Bassersdorf,-9,20,56,66,13,11,22,-24,-12,-36,-43,-31,-40,-41,-31,-18
53,Bülach,-328,56,141,97,33,21,-45,-68,-55,-48,-91,-91,-144,-106,-80,-33
54,Dietlikon,-149,-3,-6,52,37,18,-8,22,-40,-38,-24,-63,-47,-55,-35,-20
55,Eglisau,6,23,21,19,13,14,13,-9,-13,1,-9,-6,-28,-12,-23,-9
56,Embrach,61,88,56,38,30,34,26,-13,0,-32,-47,-26,-68,-32,-26,-12
