,Gemeinde,Ledige20-24 JahreFrauen Total,Ledige25-29 JahreFrauen Total,Ledige30-34 JahreFrauen Total,Ledige35-39 JahreFrauen Total,Ledige40-44 JahreFrauen Total,Ledige45-49 JahreFrauen Total,Ledige50-54 JahreFrauen Total,Ledige55-59 JahreFrauen Total,Ledige60-64 JahreFrauen Total,Ledige65-69 JahreFrauen Total,Ledige70-74 JahreFrauen Total,Ledige75-79 JahreFrauen Total,Ledige80-84 JahreFrauen Total,Ledige85-89 JahreFrauen Total,Ledige90-94 JahreFrauen Total,Ledige20-24 JahreMänner Total,Ledige25-29 JahreMänner Total,Ledige30-34 JahreMänner Total,Ledige35-39 JahreMänner Total,Ledige40-44 JahreMänner Total,Ledige45-49 JahreMänner Total,Ledige50-54 JahreMänner Total,Ledige55-59 JahreMänner Total,Ledige60-64 JahreMänner Total,Ledige65-69 JahreMänner Total,Ledige70-74 JahreMänner Total,Ledige75-79 JahreMänner Total,Ledige80-84 JahreMänner Total,Ledige85-89 JahreMänner Total,Ledige90-94 JahreMänner Total
0,......0001 Aeugst am Albis,44,25,24,23,24,37,32,43,20,14,17,9,20,18,4,55,33,27,24,19,33,20,26,18,13,8,4,4,3,0
1,......0002 Affoltern am Albis,313,269,165,141,122,174,162,144,126,124,113,122,104,78,38,395,340,232,188,159,149,142,136,100,61,53,42,18,22,8
2,......0003 Bonstetten,122,106,93,58,64,58,78,52,53,44,38,36,23,15,8,136,93,99,76,43,70,66,44,33,33,20,11,9,7,2
3,......0004 Hausen am Albis,74,60,54,43,33,60,58,46,48,37,24,36,21,13,6,93,47,54,43,31,47,60,35,21,23,18,12,7,3,2
4,......0005 Hedingen,102,70,35,29,31,55,46,44,30,36,19,15,23,16,4,118,81,69,46,33,50,53,31,23,25,17,11,10,4,3
5,......0006 Kappel am Albis,16,20,9,11,12,17,19,12,8,4,11,6,6,4,2,24,18,14,14,14,16,17,9,10,9,4,1,0,3,1
6,......0007 Knonau,58,32,17,17,16,33,38,21,24,25,10,7,8,12,10,60,52,33,26,21,25,30,15,11,9,8,7,5,6,1
7,......0008 Maschwanden,16,8,8,8,5,10,10,7,2,8,4,2,9,5,0,16,12,11,12,6,9,16,6,7,6,3,3,1,1,1
8,......0009 Mettmenstetten,106,109,55,49,48,61,69,61,42,45,35,24,19,16,12,151,102,87,56,56,58,59,50,37,25,19,15,9,4,2
9,......0010 Obfelden,119,83,62,45,39,61,54,50,52,60,31,28,29,27,13,128,105,73,49,54,73,51,44,30,37,14,10,9,7,2
